Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
HBB1,1059,1059,1059,1,0,0
HBB2,1059,1059,1059,1,0,0
HBB,1059,1059,1059,1,0,0
,Problem2,,,,,
,916,920,916,1,0,0.001
,916,920,916,1,0,0
,916,920,916,1,0,0
,Problem3,,,,,
,1158,1158,1158,1,0,0
,1158,1158,1158,1,0,0
,1158,1158,1158,1,0,0
,Problem4,,,,,
,955,955,955,1,0,0
,955,955,955,1,0,0
,955,955,955,1,0,0
,Problem5,,,,,
,1017,1017,1017,1,0,0
,1017,1017,1017,1,0,0
,1017,1017,1017,1,0,0
,Problem6,,,,,
,1040,1040,1040,1,0,0
,1040,1040,1040,1,0,0
,1040,1040,1040,1,0,0
,Problem7,,,,,
,1069,1069,1069,1,0,0
,1069,1069,1069,1,0,0
,1069,1069,1069,1,0,0
,Problem8,,,,,
,1070,1070,1070,1,0,0
,1070,1070,1070,1,0,0
,1070,1070,1070,1,0,0
,Problem9,,,,,
,1142,1142,1142,1,0,0
,1142,1142,1142,1,0,0
,1142,1142,1142,1,0,0
,Problem10,,,,,
,1221,1221,1221,1,0,0
,1221,1221,1221,1,0,0
,1221,1221,1221,1,0,0
,Problem11,,,,,
,948,948,948,1,0,0
,948,948,948,1,0,0
,948,948,948,1,0,0
,Problem12,,,,,
,1090,1090,1090,1,0,0
,1090,1090,1090,1,0,0
,1090,1090,1090,1,0,0
,Problem13,,,,,
,918,918,918,1,0,0
,918,918,918,1,0,0
,918,918,918,1,0,0
,Problem14,,,,,
,1089,1089,1089,1,0,0
,1089,1089,1089,1,0,0
,1089,1089,1089,1,0,0
,Problem15,,,,,
,974,975,975,1,0,1.287
,974,975,975,1,0,0.368
,974,975,975,1,0,0.019
,Problem16,,,,,
,1141,1141,1141,1,0,0
,1141,1141,1141,1,0,0
,1141,1141,1141,1,0,0
,Problem17,,,,,
,1008,1008,1008,1,0,0
,1008,1008,1008,1,0,0
,1008,1008,1008,1,0,0
,Problem18,,,,,
,1015,1036,1036,1,0,2.292
,1015,1036,1036,1,0,1.559
,1015,1036,1036,1,0,0.027
,Problem19,,,,,
,1099,1110,1099,1,0,0.001
,1099,1110,1099,1,0,0.001
,1099,1110,1099,1,0,0
,Problem20,,,,,
,1145,1145,1145,1,0,0
,1145,1145,1145,1,0,0
,1145,1145,1145,1,0,0
,Problem21,,,,,
,953,953,953,1,0,0
,953,953,953,1,0,0
,953,953,953,1,0,0
,Problem22,,,,,
,1064,1064,1064,1,0,0
,1064,1064,1064,1,0,0
,1064,1064,1064,1,0,0
,Problem23,,,,,
,1062,1062,1062,1,0,0
,1062,1062,1062,1,0,0
,1062,1062,1062,1,0,0
,Problem24,,,,,
,1127,1127,1127,1,0,0
,1127,1127,1127,1,0,0
,1127,1127,1127,1,0,0
,Problem25,,,,,
,1142,1142,1142,1,0,0
,1142,1142,1142,1,0,0
,1142,1142,1142,1,0,0
,Problem26,,,,,
,977,977,977,1,0,0
,977,977,977,1,0,0
,977,977,977,1,0,0
,Problem27,,,,,
,1144,1144,1144,1,0,0
,1144,1144,1144,1,0,0
,1144,1144,1144,1,0,0
,Problem28,,,,,
,1181,1181,1181,1,0,0
,1181,1181,1181,1,0,0
,1181,1181,1181,1,0,0
,Problem29,,,,,
,1126,1126,1126,1,0,0
,1126,1126,1126,1,0,0
,1126,1126,1126,1,0,0
,Problem30,,,,,
,1008,1008,1008,1,0,0
,1008,1008,1008,1,0,0
,1008,1008,1008,1,0,0
,Problem31,,,,,
,1151,1151,1151,1,0,0
,1151,1151,1151,1,0,0
,1151,1151,1151,1,0,0
,Problem32,,,,,
,1065,1065,1065,1,0,0
,1065,1065,1065,1,0,0
,1065,1065,1065,1,0,0
,Problem33,,,,,
,1149,1149,1149,1,0,0
,1149,1149,1149,1,0,0
,1149,1149,1149,1,0,0
,Problem34,,,,,
,1127,1127,1127,1,0,0
,1127,1127,1127,1,0,0
,1127,1127,1127,1,0,0
,Problem35,,,,,
,1163,1163,1163,1,0,0
,1163,1163,1163,1,0,0
,1163,1163,1163,1,0,0
,Problem36,,,,,
,1110,1110,1110,1,0,0
,1110,1110,1110,1,0,0
,1110,1110,1110,1,0,0
,Problem37,,,,,
,1024,1035,1024,1,0,0.001
,1024,1035,1024,1,0,0.001
,1024,1035,1024,1,0,0.001
,Problem38,,,,,
,1077,1133,1077,1,0,0.002
,1077,1133,1077,1,0,0.002
,1077,1133,1077,1,0,0.001
,Problem39,,,,,
,1075,1075,1075,1,0,0
,1075,1075,1075,1,0,0
,1075,1075,1075,1,0,0
,Problem40,,,,,
,1024,1024,1024,1,0,0
,1024,1024,1024,1,0,0
,1024,1024,1024,1,0,0
,Problem41,,,,,
,1118,1118,1118,1,0,0
,1118,1118,1118,1,0,0
,1118,1118,1118,1,0,0
,Problem42,,,,,
,1117,1117,1117,1,0,0
,1117,1117,1117,1,0,0
,1117,1117,1117,1,0,0
,Problem43,,,,,
,1179,1179,1179,1,0,0
,1179,1179,1179,1,0,0
,1179,1179,1179,1,0,0
,Problem44,,,,,
,1103,1146,1105,1,0,0.115
,1103,1146,1105,1,0,0.111
,1103,1146,1105,1,0,0.024
,Problem45,,,,,
,971,971,971,1,0,0
,971,971,971,1,0,0
,971,971,971,1,0,0
,Problem46,,,,,
,1099,1099,1099,1,0,0
,1099,1099,1099,1,0,0
,1099,1099,1099,1,0,0
,Problem47,,,,,
,1091,1122,1094,1,0,0.004
,1091,1122,1094,1,0,0.003
,1091,1122,1094,1,0,0.003
,Problem48,,,,,
,1088,1088,1088,1,0,0
,1088,1088,1088,1,0,0
,1088,1088,1088,1,0,0
,Problem49,,,,,
,1072,1072,1072,1,0,0
,1072,1072,1072,1,0,0
,1072,1072,1072,1,0,0
,Problem50,,,,,
,1028,1053,1053,1,0,1.745
,1028,1053,1053,1,0,1.741
,1028,1053,1053,1,0,0.05
,Problem51,,,,,
,1091,1091,1091,1,0,0
,1091,1091,1091,1,0,0
,1091,1091,1091,1,0,0
,Problem52,,,,,
,1108,1108,1108,1,0,0
,1108,1108,1108,1,0,0
,1108,1108,1108,1,0,0
,Problem53,,,,,
,1096,1137,1117,1,0,0.002
,1096,1137,1117,1,0,0.001
,1096,1137,1117,1,0,0.001
,Problem54,,,,,
,1077,1077,1077,1,0,0
,1077,1077,1077,1,0,0
,1077,1077,1077,1,0,0
,Problem55,,,,,
,946,946,946,1,0,0
,946,946,946,1,0,0
,946,946,946,1,0,0
,Problem56,,,,,
,987,1036,989,1,0,0.004
,987,1036,989,1,0,0.003
,987,1036,989,1,0,0.002
,Problem57,,,,,
,1137,1150,1141,1,0,0
,1137,1150,1141,1,0,0
,1137,1150,1141,1,0,0
,Problem58,,,,,
,1147,1147,1147,1,0,0
,1147,1147,1147,1,0,0
,1147,1147,1147,1,0,0
,Problem59,,,,,
,1381,1381,1381,1,0,0
,1381,1381,1381,1,0,0
,1381,1381,1381,1,0,0
,Problem60,,,,,
,1091,1108,1097,1,0,0.001
,1091,1108,1097,1,0,0.001
,1091,1108,1097,1,0,0
,Problem61,,,,,
,1825,1825,1825,1,0,0
,1825,1825,1825,1,0,0
,1825,1825,1825,1,0,0
,Problem62,,,,,
,1910,1910,1910,1,0,0
,1910,1910,1910,1,0,0
,1910,1910,1910,1,0,0
,Problem63,,,,,
,1900,1900,1900,1,0,0
,1900,1900,1900,1,0,0
,1900,1900,1900,1,0,0
,Problem64,,,,,
,1968,1968,1968,1,0,0
,1968,1968,1968,1,0,0
,1968,1968,1968,1,0,0
,Problem65,,,,,
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,Problem66,,,,,
,1817,1817,1817,1,0,0
,1817,1817,1817,1,0,0
,1817,1817,1817,1,0,0
,Problem67,,,,,
,2091,2091,2091,1,0,0
,2091,2091,2091,1,0,0
,2091,2091,2091,1,0,0
,Problem68,,,,,
,1905,1905,1905,1,0,0
,1905,1905,1905,1,0,0
,1905,1905,1905,1,0,0
,Problem69,,,,,
,1942,1982,1960,0,0.0092688,120
,1942,1982,1960,0,0.0092688,120
,1942,1982,1960,0,0.0092688,0.209
,Problem70,,,,,
,1724,1765,1724,1,0,0.003
,1724,1765,1724,1,0,0.002
,1724,1765,1724,1,0,0.001
,Problem71,,,,,
,1798,1808,1798,1,0,0.002
,1798,1808,1798,1,0,0.002
