Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
HBB1,852,852,852,1,0,0
HBB2,852,852,852,1,0,0
HBB,852,852,852,1,0,0
,Problem2,,,,,
,867,867,867,1,0,0
,867,867,867,1,0,0
,867,867,867,1,0,0
,Problem3,,,,,
,813,813,813,1,0,0
,813,813,813,1,0,0
,813,813,813,1,0,0
,Problem4,,,,,
,809,809,809,1,0,0
,809,809,809,1,0,0
,809,809,809,1,0,0
,Problem5,,,,,
,840,840,840,1,0,0
,840,840,840,1,0,0
,840,840,840,1,0,0
,Problem6,,,,,
,826,826,826,1,0,0
,826,826,826,1,0,0
,826,826,826,1,0,0
,Problem7,,,,,
,821,821,821,1,0,0
,821,821,821,1,0,0
,821,821,821,1,0,0
,Problem8,,,,,
,818,818,818,1,0,0
,818,818,818,1,0,0
,818,818,818,1,0,0
,Problem9,,,,,
,842,842,842,1,0,0
,842,842,842,1,0,0
,842,842,842,1,0,0
,Problem10,,,,,
,953,953,953,1,0,0
,953,953,953,1,0,0
,953,953,953,1,0,0
,Problem11,,,,,
,848,876,858,1,0,0.001
,848,876,858,1,0,0
,848,876,858,1,0,0
,Problem12,,,,,
,866,888,866,1,0,0.001
,866,888,866,1,0,0
,866,888,866,1,0,0
,Problem13,,,,,
,858,869,869,1,0,5.537
,858,869,869,1,0,2.588
,858,869,869,1,0,0.013
,Problem14,,,,,
,840,840,840,1,0,0
,840,840,840,1,0,0
,840,840,840,1,0,0
,Problem15,,,,,
,831,831,831,1,0,0
,831,831,831,1,0,0
,831,831,831,1,0,0
,Problem16,,,,,
,823,823,823,1,0,0
,823,823,823,1,0,0
,823,823,823,1,0,0
,Problem17,,,,,
,879,879,879,1,0,0
,879,879,879,1,0,0
,879,879,879,1,0,0
,Problem18,,,,,
,838,838,838,1,0,0
,838,838,838,1,0,0
,838,838,838,1,0,0
,Problem19,,,,,
,824,824,824,1,0,0
,824,824,824,1,0,0
,824,824,824,1,0,0
,Problem20,,,,,
,812,812,812,1,0,0
,812,812,812,1,0,0
,812,812,812,1,0,0
,Problem21,,,,,
,790,790,790,1,0,0
,790,790,790,1,0,0
,790,790,790,1,0,0
,Problem22,,,,,
,832,839,834,1,0,1.056
,832,839,834,1,0,0.95
,832,839,834,1,0,0.018
,Problem23,,,,,
,890,890,890,1,0,0
,890,890,890,1,0,0
,890,890,890,1,0,0
,Problem24,,,,,
,809,809,809,1,0,0
,809,809,809,1,0,0
,809,809,809,1,0,0
,Problem25,,,,,
,860,860,860,1,0,0
,860,860,860,1,0,0
,860,860,860,1,0,0
,Problem26,,,,,
,810,810,810,1,0,0
,810,810,810,1,0,0
,810,810,810,1,0,0
,Problem27,,,,,
,888,888,888,1,0,0
,888,888,888,1,0,0
,888,888,888,1,0,0
,Problem28,,,,,
,783,783,783,1,0,0
,783,783,783,1,0,0
,783,783,783,1,0,0
,Problem29,,,,,
,868,868,868,1,0,0
,868,868,868,1,0,0
,868,868,868,1,0,0
,Problem30,,,,,
,862,862,862,1,0,0
,862,862,862,1,0,0
,862,862,862,1,0,0
,Problem31,,,,,
,790,790,790,1,0,0
,790,790,790,1,0,0
,790,790,790,1,0,0
,Problem32,,,,,
,845,845,845,1,0,0
,845,845,845,1,0,0
,845,845,845,1,0,0
,Problem33,,,,,
,855,855,855,1,0,0
,855,855,855,1,0,0
,855,855,855,1,0,0
,Problem34,,,,,
,891,891,891,1,0,0
,891,891,891,1,0,0
,891,891,891,1,0,0
,Problem35,,,,,
,801,801,801,1,0,0
,801,801,801,1,0,0
,801,801,801,1,0,0
,Problem36,,,,,
,776,778,776,1,0,0
,776,778,776,1,0,0
,776,778,776,1,0,0
,Problem37,,,,,
,841,844,844,1,0,1.122
,841,844,844,1,0,0.646
,841,844,844,1,0,0.017
,Problem38,,,,,
,805,805,805,1,0,0
,805,805,805,1,0,0
,805,805,805,1,0,0
,Problem39,,,,,
,834,834,834,1,0,0
,834,834,834,1,0,0
,834,834,834,1,0,0
,Problem40,,,,,
,872,872,872,1,0,0
,872,872,872,1,0,0
,872,872,872,1,0,0
,Problem41,,,,,
,861,870,861,1,0,0.001
,861,870,861,1,0,0
,861,870,861,1,0,0
,Problem42,,,,,
,905,905,905,1,0,0
,905,905,905,1,0,0
,905,905,905,1,0,0
,Problem43,,,,,
,819,820,820,1,0,0.913
,819,820,820,1,0,0.845
,819,820,820,1,0,0.03
,Problem44,,,,,
,899,899,899,1,0,0
,899,899,899,1,0,0
,899,899,899,1,0,0
,Problem45,,,,,
,907,907,907,1,0,0
,907,907,907,1,0,0
,907,907,907,1,0,0
,Problem46,,,,,
,818,818,818,1,0,0
,818,818,818,1,0,0
,818,818,818,1,0,0
,Problem47,,,,,
,868,887,868,1,0,0.001
,868,887,868,1,0,0
,868,887,868,1,0,0
,Problem48,,,,,
,857,857,857,1,0,0
,857,857,857,1,0,0
,857,857,857,1,0,0
,Problem49,,,,,
,866,866,866,1,0,0
,866,866,866,1,0,0
,866,866,866,1,0,0
,Problem50,,,,,
,839,839,839,1,0,0
,839,839,839,1,0,0
,839,839,839,1,0,0
,Problem51,,,,,
,851,851,851,1,0,0
,851,851,851,1,0,0
,851,851,851,1,0,0
,Problem52,,,,,
,897,904,897,1,0,0.001
,897,904,897,1,0,0.001
,897,904,897,1,0,0
,Problem53,,,,,
,923,928,928,1,0,0
,923,928,928,1,0,0
,923,928,928,1,0,0
,Problem54,,,,,
,863,863,863,1,0,0
,863,863,863,1,0,0
,863,863,863,1,0,0
,Problem55,,,,,
,877,877,877,1,0,0
,877,877,877,1,0,0
,877,877,877,1,0,0
,Problem56,,,,,
,901,901,901,1,0,0
,901,901,901,1,0,0
,901,901,901,1,0,0
,Problem57,,,,,
,858,861,861,1,0,15.427
,858,861,861,1,0,14.156
,858,861,861,1,0,0.032
,Problem58,,,,,
,941,941,941,1,0,0
,941,941,941,1,0,0
,941,941,941,1,0,0
,Problem59,,,,,
,889,889,889,1,0,0
,889,889,889,1,0,0
,889,889,889,1,0,0
,Problem60,,,,,
,923,923,923,1,0,0
,923,923,923,1,0,0
,923,923,923,1,0,0
,Problem61,,,,,
,1597,1597,1597,1,0,0
,1597,1597,1597,1,0,0
,1597,1597,1597,1,0,0
,Problem62,,,,,
,1594,1594,1594,1,0,0
,1594,1594,1594,1,0,0
,1594,1594,1594,1,0,0
,Problem63,,,,,
,1540,1540,1540,1,0,0
,1540,1540,1540,1,0,0
,1540,1540,1540,1,0,0
,Problem64,,,,,
,1757,1757,1757,1,0,0
,1757,1757,1757,1,0,0
,1757,1757,1757,1,0,0
,Problem65,,,,,
,1598,1598,1598,1,0,0
,1598,1598,1598,1,0,0
,1598,1598,1598,1,0,0
,Problem66,,,,,
,1679,1680,1679,1,0,0.001
,1679,1680,1679,1,0,0
,1679,1680,1679,1,0,0
,Problem67,,,,,
,1566,1591,1566,1,0,0.004
,1566,1591,1566,1,0,0.003
,1566,1591,1566,1,0,0.001
,Problem68,,,,,
,1596,1596,1596,1,0,0
,1596,1596,1596,1,0,0
,1596,1596,1596,1,0,0
,Problem69,,,,,
,1465,1465,1465,1,0,0
,1465,1465,1465,1,0,0
,1465,1465,1465,1,0,0
,Problem70,,,,,
,1582,1582,1582,1,0,0
,1582,1582,1582,1,0,0
,1582,1582,1582,1,0,0
,Problem71,,,,,
,1837,1837,1837,1,0,0
,1837,1837,1837,1,0,0
,1837,1837,1837,1,0,0
,Problem72,,,,,
,1525,1537,1528,1,0,0.001
,1525,1537,1528,1,0,0.001
,1525,1537,1528,1,0,0.001
,Problem73,,,,,
,1521,1521,1521,1,0,0
,1521,1521,1521,1,0,0
,1521,1521,1521,1,0,0
,Problem74,,,,,
,1529,1529,1529,1,0,0
,1529,1529,1529,1,0,0
,1529,1529,1529,1,0,0
,Problem75,,,,,
,1649,1649,1649,1,0,0
,1649,1649,1649,1,0,0
,1649,1649,1649,1,0,0
,Problem76,,,,,
,1633,1633,1633,1,0,0
,1633,1633,1633,1,0,0
,1633,1633,1633,1,0,0
,Problem77,,,,,
,1747,1750,1750,0,0.00171723,120
,1747,1750,1750,0,0.00171723,120
,1747,1750,1750,0,0.00171723,0.099
,Problem78,,,,,
,1636,1636,1636,1,0,0
,1636,1636,1636,1,0,0
,1636,1636,1636,1,0,0
,Problem79,,,,,
,1473,1473,1473,1,0,0
,1473,1473,1473,1,0,0
,1473,1473,1473,1,0,0
,Problem80,,,,,
,1658,1658,1658,1,0,0
,1658,1658,1658,1,0,0
,1658,1658,1658,1,0,0
,Problem81,,,,,
,1535,1535,1535,1,0,0
,1535,1535,1535,1,0,0
,1535,1535,1535,1,0,0
